Animal_Id,Location,Fittness,Line,harvest,Weight_initial,Weight_final,Length_initial,Length_final,weight_init_std,country
10975140,Kunduchi,Adequate,Mindu,Yes,100.65,200.7,15.5,19.0,2.4770580784071083,Africa
10975311,Kunduchi,Adequate,Mindu,Yes,49.92,,12.0,,0.17633893244241292,Africa
10975621,Kunduchi,Adequate,Mindu,Yes,81.03,152.6,14.3,17.8,1.5872471254438256,Africa
10974859,Kunduchi,Adequate,Mindu,Yes,37.9,116.8,10.2,15.5,-0.3687949949081813,Africa
10974898,Kunduchi,Adequate,Mindu,Yes,35.46,81.6,11.0,14.0,-0.479454461025939,Africa
10975579,Kunduchi,Adequate,Mindu,Yes,41.74,80.4,11.3,13.5,-0.19464239249334908,Africa
10975262,Kunduchi,Adequate,Mindu,Yes,22.24,67.2,9.2,13.0,-1.0790110766311682,Africa
10975472,Kunduchi,Adequate,Mindu,Yes,21.97,50.0,8.7,10.0,-1.0912561814884612,Africa
10974918,Kunduchi,Adequate,Mindu,Yes,52.74,159.5,12.1,17.0,0.3042322498408052,Africa
10975280,Kunduchi,Adequate,Mindu,Yes,66.6,180.0,13.0,18.0,0.9328142991818393,Africa
10975482,Kunduchi,Adequate,Mindu,Yes,61.05,173.0,12.8,17.5,0.6811093660041525,Africa
10974771,Kunduchi,Adequate,Mindu,Yes,73.48,166.0,13.5,17.5,1.244837711841747,Africa
10974950,Kunduchi,Adequate,Mindu,Yes,71.12,176.0,13.0,17.2,1.137806424940965,Africa
10975054,Kunduchi,Adequate,Mindu,Yes,65.62,207.6,13.0,18.2,0.8883691037738879,Africa
10975048,Kunduchi,Adequate,Mindu,Yes,73.48,211.1,13.7,18.5,1.244837711841747,Africa
10974949,Kunduchi,Adequate,Mindu,Yes,62.06,158.7,13.0,17.0,0.7269151286184705,Africa
10975418,Kunduchi,Adequate,Mindu,Yes,83.05,183.4,14.0,17.2,1.6788586506724612,Africa
